Time,epoch,optimize,reward,score,epsilon
"2022-01-05 23:46:13,544",1,50,3.9,56,0.09995
"2022-01-05 23:46:18,464",2,100,3.9,43,0.0999
"2022-01-05 23:46:25,256",3,162,5.1,60,0.099838
"2022-01-05 23:46:30,120",4,209,3.7,43,0.09979
"2022-01-05 23:46:38,097",5,283,6.2,71,0.099717
"2022-01-05 23:46:44,557",6,341,4.4,57,0.099662
"2022-01-05 23:46:55,354",7,412,4.8,42,0.099603
"2022-01-05 23:47:00,709",8,434,0.1,42,0.099591
"2022-01-05 23:47:07,073",9,462,0.4,50,0.099576
"2022-01-05 23:47:13,571",10,490,0.4,52,0.099561
"2022-01-05 23:47:18,722",11,512,0.1,42,0.099549
"2022-01-05 23:47:24,172",12,536,0.2,42,0.099536
"2022-01-05 23:47:29,579",13,560,0.2,42,0.099523
"2022-01-05 23:47:36,975",14,594,0.7,63,0.099505
"2022-01-05 23:47:42,320",15,616,0.1,42,0.099494
"2022-01-05 23:47:48,912",16,646,0.5,53,0.099478
"2022-01-05 23:47:55,186",17,675,0.4,51,0.099463
"2022-01-05 23:48:01,517",18,704,0.4,51,0.099448
"2022-01-05 23:48:09,472",19,740,0.8,67,0.099429
"2022-01-05 23:48:15,811",20,768,0.4,52,0.099414
"2022-01-05 23:48:23,267",21,802,0.7,62,0.099396
"2022-01-05 23:48:30,299",22,834,0.6,60,0.099379
"2022-01-05 23:48:36,568",23,862,0.4,52,0.099364
"2022-01-05 23:48:42,754",24,890,0.4,52,0.099349
"2022-01-05 23:48:49,054",25,918,0.4,52,0.099334
"2022-01-05 23:48:54,121",26,940,0.1,42,0.099322
"2022-01-05 23:49:00,480",27,968,0.4,54,0.099307
"2022-01-05 23:49:08,248",28,1005,0.8,65,0.099288
"2022-01-05 23:49:13,680",29,1030,0.2,43,0.099275
"2022-01-05 23:49:19,021",30,1054,0.2,42,0.099262
"2022-01-05 23:49:24,133",31,1076,0.1,42,0.09925
"2022-01-05 23:49:29,304",32,1098,0.1,42,0.099238
"2022-01-05 23:49:34,423",33,1120,0.1,42,0.099226
"2022-01-05 23:49:39,494",34,1143,0.1,42,0.099214
"2022-01-05 23:49:44,573",35,1165,0.1,42,0.099202
"2022-01-05 23:49:49,858",36,1187,0.1,42,0.09919
"2022-01-05 23:49:55,380",37,1211,0.2,43,0.099177
"2022-01-05 23:50:01,836",38,1237,0.3,53,0.099163
"2022-01-05 23:50:07,243",39,1261,0.2,42,0.09915
"2022-01-05 23:50:13,230",40,1287,0.3,47,0.099136
"2022-01-05 23:50:18,437",41,1309,0.1,42,0.099124
"2022-01-05 23:50:24,893",42,1337,0.4,54,0.099109
"2022-01-05 23:50:29,918",43,1359,0.1,42,0.099097
"2022-01-05 23:50:35,309",44,1384,0.2,42,0.099084
"2022-01-05 23:50:40,530",45,1409,0.2,42,0.099071
"2022-01-05 23:50:45,575",46,1432,0.1,42,0.099059
"2022-01-05 23:50:50,946",47,1456,0.2,42,0.099046
"2022-01-05 23:50:57,444",48,1484,0.4,53,0.099031
"2022-01-05 23:51:04,004",49,1514,0.5,55,0.099015
"2022-01-05 23:51:09,363",50,1538,0.2,42,0.099002
"2022-01-05 23:51:18,145",51,1578,1,73,0.098981
"2022-01-05 23:51:23,587",52,1602,0.2,43,0.098968
"2022-01-05 23:51:28,774",53,1625,0.1,42,0.098956
"2022-01-05 23:51:33,963",54,1647,0.1,42,0.098944
"2022-01-05 23:51:40,101",55,1673,0.3,50,0.09893
"2022-01-05 23:51:45,308",56,1695,0.1,42,0.098918
"2022-01-05 23:51:50,354",57,1717,0.1,42,0.098906
"2022-01-05 23:51:55,930",58,1741,0.2,42,0.098893
"2022-01-05 23:52:02,555",59,1771,0.5,55,0.098877
"2022-01-05 23:52:08,000",60,1795,0.2,43,0.098864
"2022-01-05 23:52:13,389",61,1819,0.2,43,0.098851
"2022-01-05 23:52:18,814",62,1844,0.2,42,0.098838
"2022-01-05 23:52:27,159",63,1882,0.9,70,0.098818
"2022-01-05 23:52:34,598",64,1917,0.7,61,0.0988
"2022-01-05 23:52:44,223",65,1961,1.2,80,0.098777
"2022-01-05 23:52:49,711",66,1986,0.2,43,0.098764
"2022-01-05 23:52:54,768",67,2008,0.1,42,0.098752
"2022-01-05 23:53:00,829",68,2034,0.3,51,0.098738
"2022-01-05 23:53:06,311",69,2058,0.2,43,0.098725
"2022-01-05 23:53:11,367",70,2080,0.1,42,0.098713
"2022-01-05 23:53:16,418",71,2102,0.1,42,0.098701
"2022-01-05 23:53:21,798",72,2126,0.2,42,0.098688
"2022-01-05 23:53:26,876",73,2148,0.1,42,0.098676
"2022-01-05 23:53:32,068",74,2170,0.1,42,0.098664
"2022-01-05 23:53:37,137",75,2192,0.1,42,0.098652
"2022-01-05 23:53:42,120",76,2214,0.1,42,0.09864
"2022-01-05 23:53:47,476",77,2238,0.2,42,0.098627
"2022-01-05 23:53:52,628",78,2260,0.1,42,0.098615
"2022-01-05 23:53:59,188",79,2290,0.5,53,0.098599
"2022-01-05 23:54:06,277",80,2321,0.5,58,0.098583
"2022-01-05 23:54:16,707",81,2369,1.4,90,0.098558
"2022-01-05 23:54:21,779",82,2391,0.1,42,0.098546
"2022-01-05 23:54:27,244",83,2415,0.2,43,0.098533
"2022-01-05 23:54:33,390",84,2443,0.4,52,0.098518
