Time,epoch,optimize,reward,score,epsilon
"2022-01-06 12:32:18,507",1,5,-0.5,49,0.099994
"2022-01-06 12:32:23,240",2,64,4.8,42,0.099935
"2022-01-06 12:32:27,972",3,124,5,42,0.099874
"2022-01-06 12:32:38,854",4,243,10.7,97,0.099756
"2022-01-06 12:32:47,383",5,326,7.1,76,0.099674
"2022-01-06 12:32:59,272",6,411,5.9,42,0.099604
"2022-01-06 12:33:04,476",7,431,0,42,0.099593
"2022-01-06 12:33:09,652",8,452,0,42,0.099582
"2022-01-06 12:33:14,845",9,472,0,42,0.099571
"2022-01-06 12:33:20,766",10,496,0.2,49,0.099558
"2022-01-06 12:33:26,193",11,518,0.1,43,0.099546
"2022-01-06 12:33:31,871",12,541,0.1,43,0.099534
"2022-01-06 12:33:37,434",13,563,0.1,43,0.099522
"2022-01-06 12:33:44,025",14,589,0.3,53,0.099508
"2022-01-06 12:33:49,555",15,611,0.1,42,0.099497
"2022-01-06 12:33:55,073",16,633,0.1,43,0.099485
"2022-01-06 12:34:00,312",17,653,0,42,0.099474
"2022-01-06 12:34:05,386",18,674,0,42,0.099463
"2022-01-06 12:34:11,474",19,699,0.2,50,0.09945
"2022-01-06 12:34:16,993",20,721,0.1,42,0.099438
"2022-01-06 12:34:22,460",21,743,0.1,42,0.099426
"2022-01-06 12:34:27,653",22,763,0,42,0.099415
"2022-01-06 12:34:35,385",23,793,0.5,62,0.099399
"2022-01-06 12:34:40,504",24,813,0,42,0.099388
"2022-01-06 12:34:47,352",25,841,0.4,55,0.099373
"2022-01-06 12:34:52,913",26,863,0.1,43,0.099361
"2022-01-06 12:34:58,349",27,885,0.1,42,0.099349
"2022-01-06 12:35:03,837",28,907,0.1,42,0.099337
"2022-01-06 12:35:09,385",29,929,0.1,42,0.099325
"2022-01-06 12:35:14,834",30,952,0.1,42,0.099313
"2022-01-06 12:35:20,322",31,974,0.1,42,0.099301
"2022-01-06 12:35:26,141",32,996,0.1,43,0.099289
"2022-01-06 12:35:31,679",33,1018,0.1,42,0.099277
"2022-01-06 12:35:37,126",34,1040,0.1,42,0.099265
"2022-01-06 12:35:42,301",35,1060,0,43,0.099254
"2022-01-06 12:35:47,893",36,1083,0.1,43,0.099242
"2022-01-06 12:35:53,081",37,1101,-0.1,43,0.099232
"2022-01-06 12:36:00,049",38,1127,0.3,54,0.099218
"2022-01-06 12:36:05,360",39,1147,0,42,0.099207
"2022-01-06 12:36:12,184",40,1173,0.3,56,0.099193
"2022-01-06 12:36:19,355",41,1202,0.4,59,0.099178
"2022-01-06 12:36:25,780",42,1226,0.2,51,0.099165
"2022-01-06 12:36:30,930",43,1248,0,42,0.099154
"2022-01-06 12:36:37,489",44,1274,0.3,52,0.09914
"2022-01-06 12:36:43,028",45,1296,0.1,43,0.099128
"2022-01-06 12:36:49,674",46,1322,0.3,54,0.099114
"2022-01-06 12:36:54,784",47,1342,0,42,0.099103
"2022-01-06 12:36:59,862",48,1362,0,42,0.099092
"2022-01-06 12:37:05,078",49,1382,0,42,0.099081
"2022-01-06 12:37:10,166",50,1402,0,42,0.09907
"2022-01-06 12:37:15,527",51,1422,0,42,0.099059
"2022-01-06 12:37:20,988",52,1444,0.1,42,0.099047
"2022-01-06 12:37:28,423",53,1476,0.5,61,0.099031
"2022-01-06 12:37:33,646",54,1496,0,42,0.09902
"2022-01-06 12:37:39,220",55,1518,0.1,42,0.099008
"2022-01-06 12:37:44,329",56,1538,0,42,0.098997
"2022-01-06 12:37:49,443",57,1558,0,42,0.098986
"2022-01-06 12:37:54,567",58,1578,0,42,0.098975
"2022-01-06 12:38:01,329",59,1604,0.3,57,0.098961
"2022-01-06 12:38:06,465",60,1625,0,42,0.09895
