Time,epoch,optimize,reward,score,epsilon
"2022-01-04 13:01:52,688",1,28,1.8,46,0.099971
"2022-01-04 13:01:58,945",2,105,6.7,55,0.099893
"2022-01-04 13:02:03,628",3,162,4.5,42,0.099837
"2022-01-04 13:02:09,500",4,230,5.8,52,0.099768
"2022-01-04 13:02:14,237",5,291,4.9,42,0.099708
"2022-01-04 13:02:20,903",6,374,7.3,59,0.099624
"2022-01-04 13:02:26,984",7,399,0.6,50,0.099607
"2022-01-04 13:02:32,376",8,426,0.3,43,0.099593
"2022-01-04 13:02:38,446",9,456,0.5,49,0.099577
"2022-01-04 13:02:43,522",10,478,0.1,42,0.099565
"2022-01-04 13:02:49,646",11,509,0.5,51,0.099549
"2022-01-04 13:02:54,952",12,535,0.3,43,0.099535
"2022-01-04 13:03:00,201",13,561,0.3,42,0.099521
"2022-01-04 13:03:06,325",14,591,0.5,52,0.099505
"2022-01-04 13:03:12,701",15,621,0.5,52,0.09949
"2022-01-04 13:03:19,476",16,655,0.7,57,0.099472
"2022-01-04 13:03:24,817",17,681,0.3,42,0.099458
"2022-01-04 13:03:30,078",18,707,0.3,42,0.099444
"2022-01-04 13:03:35,407",19,733,0.3,43,0.09943
"2022-01-04 13:03:40,720",20,759,0.3,43,0.099416
"2022-01-04 13:03:46,900",21,789,0.5,51,0.0994
"2022-01-04 13:03:52,114",22,815,0.3,42,0.099386
"2022-01-04 13:03:57,365",23,841,0.3,42,0.099372
"2022-01-04 13:04:02,574",24,867,0.3,42,0.099358
"2022-01-04 13:04:07,929",25,893,0.3,43,0.099344
"2022-01-04 13:04:14,124",26,923,0.5,50,0.099328
"2022-01-04 13:04:20,290",27,954,0.5,51,0.099312
"2022-01-04 13:04:25,527",28,980,0.3,42,0.099298
"2022-01-04 13:04:30,668",29,1006,0.3,42,0.099284
"2022-01-04 13:04:35,870",30,1032,0.3,42,0.09927
"2022-01-04 13:04:41,149",31,1059,0.3,43,0.099256
"2022-01-04 13:04:48,695",32,1098,0.9,64,0.099236
"2022-01-04 13:04:54,765",33,1128,0.5,50,0.09922
"2022-01-04 13:05:03,143",34,1170,1.1,71,0.099198
"2022-01-04 13:05:10,115",35,1204,0.7,58,0.09918
"2022-01-04 13:05:15,371",36,1230,0.3,42,0.099166
"2022-01-04 13:05:20,542",37,1256,0.3,42,0.099152
"2022-01-04 13:05:25,790",38,1282,0.3,43,0.099138
"2022-01-04 13:05:33,168",39,1320,0.9,62,0.099118
"2022-01-04 13:05:38,193",40,1344,0.2,42,0.099105
"2022-01-04 13:05:43,529",41,1370,0.3,42,0.099091
"2022-01-04 13:05:48,852",42,1396,0.3,42,0.099077
"2022-01-04 13:05:54,195",43,1422,0.3,43,0.099063
"2022-01-04 13:05:59,450",44,1448,0.3,42,0.099049
"2022-01-04 13:06:04,481",45,1472,0.2,42,0.099036
"2022-01-04 13:06:10,160",46,1498,0.3,48,0.099022
"2022-01-04 13:06:15,826",47,1526,0.4,48,0.099007
"2022-01-04 13:06:21,560",48,1554,0.4,48,0.098992
"2022-01-04 13:06:26,763",49,1580,0.3,42,0.098978
"2022-01-04 13:06:32,043",50,1606,0.3,42,0.098964
"2022-01-04 13:06:39,095",51,1640,0.7,58,0.098946
"2022-01-04 13:06:45,136",52,1670,0.5,48,0.09893
"2022-01-04 13:06:51,631",53,1702,0.6,54,0.098913
"2022-01-04 13:06:59,058",54,1738,0.8,62,0.098894
"2022-01-04 13:07:04,354",55,1762,0.2,42,0.098881
"2022-01-04 13:07:09,336",56,1786,0.2,42,0.098868
"2022-01-04 13:07:14,651",57,1813,0.3,43,0.098854
"2022-01-04 13:07:19,906",58,1839,0.3,42,0.09884
"2022-01-04 13:07:25,958",59,1869,0.5,49,0.098824
"2022-01-04 13:07:31,218",60,1895,0.3,42,0.09881
"2022-01-04 13:07:36,528",61,1921,0.3,43,0.098796
"2022-01-04 13:07:41,770",62,1947,0.3,42,0.098782
"2022-01-04 13:07:46,794",63,1971,0.2,42,0.098769
"2022-01-04 13:07:52,028",64,1997,0.3,42,0.098755
"2022-01-04 13:07:57,250",65,2024,0.3,42,0.098741
"2022-01-04 13:08:04,315",66,2058,0.7,59,0.098723
"2022-01-04 13:08:09,612",67,2085,0.3,42,0.098709
"2022-01-04 13:08:14,851",68,2111,0.3,42,0.098695
"2022-01-04 13:08:20,116",69,2138,0.3,43,0.098681
"2022-01-04 13:08:25,108",70,2162,0.2,42,0.098668
"2022-01-04 13:08:31,581",71,2194,0.6,54,0.098651
"2022-01-04 13:08:38,493",72,2228,0.7,59,0.098633
"2022-01-04 13:08:44,388",73,2258,0.5,50,0.098617
"2022-01-04 13:08:49,625",74,2284,0.3,42,0.098603
"2022-01-04 13:08:55,009",75,2310,0.3,43,0.098589
"2022-01-04 13:09:00,015",76,2334,0.2,42,0.098576
"2022-01-04 13:09:05,082",77,2358,0.2,42,0.098563
"2022-01-04 13:09:10,434",78,2385,0.3,42,0.098549
"2022-01-04 13:09:17,457",79,2421,0.8,57,0.09853
"2022-01-04 13:09:22,489",80,2445,0.2,42,0.098517
"2022-01-04 13:09:27,652",81,2471,0.3,42,0.098503
"2022-01-04 13:09:33,798",82,2501,0.5,50,0.098488
"2022-01-04 13:09:41,329",83,2539,0.9,62,0.098468
"2022-01-04 13:09:46,307",84,2563,0.2,42,0.098455
"2022-01-04 13:09:51,289",85,2587,0.2,42,0.098442
"2022-01-04 13:10:01,038",86,2637,1.5,84,0.098416
"2022-01-04 13:10:06,175",87,2662,0.2,42,0.098403
"2022-01-04 13:10:11,513",88,2688,0.3,42,0.098389
"2022-01-04 13:10:16,518",89,2712,0.2,42,0.098376
"2022-01-04 13:10:25,214",90,2754,1.1,74,0.098354
"2022-01-04 13:10:30,220",91,2778,0.2,42,0.098341
"2022-01-04 13:10:37,377",92,2814,0.8,60,0.098322
"2022-01-04 13:10:45,978",93,2858,1.2,71,0.098299
"2022-01-04 13:10:52,328",94,2890,0.6,53,0.098282
"2022-01-04 13:10:59,385",95,2926,0.8,57,0.098263
"2022-01-04 13:11:04,417",96,2950,0.2,42,0.09825
"2022-01-04 13:11:10,463",97,2980,0.5,51,0.098234
"2022-01-04 13:11:19,128",98,3024,1.2,74,0.098211
"2022-01-04 13:11:24,124",99,3049,0.2,42,0.098198
"2022-01-04 13:11:31,364",100,3085,0.8,61,0.098179
"2022-01-04 13:11:36,384",101,3109,0.2,42,0.098166
"2022-01-04 13:11:44,414",102,3149,1,68,0.098145
"2022-01-04 13:11:53,459",103,3195,1.3,76,0.098121
"2022-01-04 13:11:58,825",104,3221,0.3,42,0.098107
"2022-01-04 13:12:04,047",105,3245,0.2,42,0.098094
"2022-01-04 13:12:09,266",106,3271,0.3,42,0.09808
"2022-01-04 13:12:14,547",107,3297,0.3,42,0.098066
"2022-01-04 13:12:21,712",108,3333,0.8,60,0.098047
"2022-01-04 13:12:28,134",109,3365,0.6,55,0.09803
"2022-01-04 13:12:34,633",110,3397,0.6,54,0.098013
"2022-01-04 13:12:40,653",111,3427,0.5,50,0.097997
"2022-01-04 13:12:45,863",112,3453,0.3,42,0.097983
"2022-01-04 13:12:52,255",113,3485,0.6,54,0.097966
"2022-01-04 13:13:00,817",114,3527,1.1,72,0.097944
"2022-01-04 13:13:06,911",115,3555,0.4,50,0.097929
"2022-01-04 13:13:14,091",116,3591,0.8,60,0.09791
"2022-01-04 13:13:19,107",117,3615,0.2,42,0.097897
"2022-01-04 13:13:24,107",118,3639,0.2,42,0.097884
"2022-01-04 13:13:29,460",119,3665,0.3,43,0.09787
"2022-01-04 13:13:40,257",120,3719,1.7,94,0.097842
"2022-01-04 13:13:48,278",121,3760,1,67,0.097821
"2022-01-04 13:13:53,284",122,3784,0.2,42,0.097808
"2022-01-04 13:13:58,367",123,3809,0.2,42,0.097795
"2022-01-04 13:14:06,104",124,3847,0.9,65,0.097775
"2022-01-04 13:14:13,851",125,3887,1,66,0.097754
"2022-01-04 13:14:19,187",126,3913,0.3,43,0.09774
"2022-01-04 13:14:25,618",127,3945,0.6,53,0.097723
"2022-01-04 13:14:36,147",128,4000,1.7,90,0.097695
"2022-01-04 13:14:41,458",129,4027,0.3,43,0.097681
"2022-01-04 13:14:47,540",130,4057,0.5,50,0.097665
"2022-01-04 13:14:52,859",131,4084,0.3,43,0.097651
"2022-01-04 13:14:57,846",132,4108,0.2,42,0.097638
"2022-01-04 13:15:04,189",133,4138,0.5,53,0.097622
"2022-01-04 13:15:12,229",134,4179,1,67,0.097601
"2022-01-04 13:15:17,278",135,4203,0.2,42,0.097588
"2022-01-04 13:15:23,765",136,4235,0.6,54,0.097571
"2022-01-04 13:15:29,096",137,4261,0.3,43,0.097557
"2022-01-04 13:15:44,490",138,4340,2.9,135,0.097517
"2022-01-04 13:15:52,051",139,4378,0.9,62,0.097498
"2022-01-04 13:15:57,133",140,4402,0.2,42,0.097485
"2022-01-04 13:16:03,517",141,4433,0.5,53,0.097469
"2022-01-04 13:16:08,853",142,4459,0.3,42,0.097455
"2022-01-04 13:16:16,812",143,4499,1,66,0.097434
"2022-01-04 13:16:23,205",144,4531,0.6,53,0.097417
"2022-01-04 13:16:28,569",145,4557,0.3,43,0.097403
"2022-01-04 13:16:33,636",146,4581,0.2,42,0.09739
"2022-01-04 13:16:43,393",147,4632,1.5,84,0.097364
"2022-01-04 13:16:52,928",148,4680,1.4,75,0.097339
"2022-01-04 13:16:59,301",149,4710,0.5,52,0.097323
"2022-01-04 13:17:04,674",150,4734,0.2,42,0.09731
"2022-01-04 13:17:11,209",151,4766,0.6,56,0.097293
"2022-01-04 13:17:20,739",152,4815,1.4,83,0.097268
"2022-01-04 13:17:25,746",153,4839,0.2,42,0.097255
"2022-01-04 13:17:30,838",154,4863,0.2,42,0.097242
"2022-01-04 13:17:37,967",155,4899,0.8,60,0.097223
"2022-01-04 13:17:44,745",156,4933,0.7,57,0.097205
"2022-01-04 13:17:49,772",157,4957,0.2,42,0.097192
"2022-01-04 13:17:55,076",158,4984,0.3,43,0.097178
"2022-01-04 13:18:02,074",159,5019,0.7,59,0.09716
"2022-01-04 13:18:14,774",160,5086,2.3,111,0.097126
"2022-01-04 13:18:19,990",161,5112,0.3,42,0.097112
"2022-01-04 13:18:27,918",162,5154,1,67,0.097091
"2022-01-04 13:18:33,275",163,5180,0.3,42,0.097077
"2022-01-04 13:18:38,651",164,5206,0.3,43,0.097063
"2022-01-04 13:18:53,150",165,5281,2.7,125,0.097025
"2022-01-04 13:19:01,857",166,5325,1.2,75,0.097002
